,DEPARTAMENTO,Year,ODS 1.1.1,ODS 1.2.1,ODS 1.3.1,ODS 1.4.1,ODS 2.1.1,ODS 2.2.1,ODS 2.2.2,ODS 3.1.2,ODS 3.2.1,ODS 3.2.2,ODS 3.3.1,ODS 3.3.2,ODS 3.3.3,ODS 3.3.4,ODS 3.5.2,ODS 3.6.1,ODS 3.7.1,ODS 3.7.2,ODS 3.8.1,ODS 3.a.1,ODS 3.c.1,ODS 4.1.1,ODS 4.1.2,ODS 4.1.3,ODS 4.1.4,ODS 4.2.2,ODS 4.3.1,ODS 4.5.1,ODS 4.6.1,ODS 4.a.1,ODS 4.a.2,ODS 4.a.3,ODS 4.c.1,ODS 5.2.1,ODS 5.5.2,ODS 5.5.3,ODS 5.5.4,ODS 6.1.1,ODS 6.2.1,ODS 7.1.1,ODS 7.1.2,ODS 8.1.1,ODS 8.2.1,ODS 8.5.1,ODS 8.5.2,ODS 8.6.1,ODS 8.7.1,ODS 9.2.2,ODS 10.1.1,ODS 10.2.1,ODS 10.3.1
25,PUNO,2013,6.6,30.6,14,46,NA,19,0,80.6,NA,NA,8,34,0,0,NA,24.3,27.8,NA,60.7,NA,1034,NA,NA,NA,NA,10,26.8,NA,10,82,38.4,13.9,NA,14.1,NA,NA,NA,59.2,59.3,88.4,47.4,8.2,5.1,4.5,NA,13.4,57.6,8.6,3.5,31,35.4
26,RESTO PAIS,2013,6.8,29,22.4,NA,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,NA,68.8,88.9,54.3,NA,NA,NA,4.8,14.9,NA,NA,NA,NA,13.7
27,RURAL,2013,16,48,8.6,28.5,31.1,32.3,0.3,71.3,24,11,NA,NA,NA,NA,NA,NA,46.2,104,75.1,NA,NA,NA,NA,NA,NA,15.8,13.5,1,15.8,63,38.2,12.9,NA,11.1,NA,NA,19.6,63.3,45.4,71.5,12.7,NA,NA,3.4,NA,13.1,62.3,4.6,5.9,27.9,10.4
28,SAN MARTIN,2013,6.6,30.6,15,52.4,NA,15.5,1,86.4,NA,NA,158,46,13,4,NA,10.4,51.6,NA,66.4,NA,447,NA,NA,NA,NA,7.7,23,NA,7.7,63.2,35.7,19.8,NA,9.8,NA,NA,NA,80.1,64,87.7,44,0.6,-1.5,5.2,NA,13.3,27.9,NA,4.4,27.8,8
29,SELVA,2013,6.9,31.2,16.3,41.2,25.4,24.1,0.8,73,NA,NA,NA,NA,NA,NA,NA,NA,49.8,NA,NA,NA,NA,NA,NA,NA,NA,7.4,20.7,1,7.4,NA,NA,NA,NA,NA,NA,NA,19.7,NA,51.7,78.6,41,NA,NA,NA,3.2,16.3,37.4,NA,2.4,NA,9.8
30,SELVA RURAL,2013,12.1,42.6,NA,NA,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA
31,SELVA URBANA,2013,3.1,22.9,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA
32,SIERRA,2013,10.5,34.7,18.8,59.7,33.6,28.7,0.4,84.2,NA,NA,NA,NA,NA,NA,NA,NA,43.9,NA,NA,NA,NA,NA,NA,NA,NA,11.2,26.7,1,11.2,NA,NA,NA,NA,NA,NA,NA,30.4,NA,69.9,87,41.9,NA,NA,NA,5.2,12.5,51.4,NA,5.1,NA,15.8
33,SIERRA RURAL,2013,19,52.9,NA,NA,34.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA
34,SIERRA URBANA,2013,1.7,16.2,NA,NA,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA
35,TACNA,2013,0.1,13.1,31.8,86.9,NA,2.9,0.7,96.8,NA,NA,28,124,0,1,NA,12.4,55.2,NA,44,NA,841,NA,NA,NA,NA,3.5,33.1,NA,3.5,85.9,81.5,70.1,NA,9.8,NA,NA,NA,93.4,89.4,97.6,87.4,3.1,2.8,6.1,NA,13.7,21.6,6.4,2.3,20.6,31
36,TOTAL,2013,4.7,23.9,27.7,70.3,26.5,17.5,0.4,89.1,21,11,5318,82,167,5,NA,9.9,51.3,65,65.5,NA,65082,NA,NA,NA,NA,6.2,26.5,1,6.2,70.9,50.2,29.5,NA,12.1,NA,NA,30.6,85.9,76.4,92.3,67.9,5,4.9,6,4.8,15.9,31.3,10.1,4.4,26.8,15.4
37,TUMBES,2013,0.1,13.1,22.6,64,NA,9.1,0.4,100,NA,NA,85,35,0,2,NA,3,64.9,NA,68.7,NA,193,NA,NA,NA,NA,3.5,27.4,NA,3.5,84.7,72.8,55.1,NA,13.2,NA,NA,NA,81.6,69.1,98.8,87,0.8,1.7,5.7,NA,17,18,7.2,5.1,27.2,11.4
38,UCAYALI,2013,2,13.1,21.4,29.6,NA,24.5,0.6,74.8,NA,NA,140,148,19,4,NA,6.7,48.2,NA,61.8,NA,365,NA,NA,NA,NA,5.6,21.9,NA,5.6,27.9,13.1,14,NA,9.9,NA,NA,NA,73.5,34.3,81.2,59.2,-0.2,1.2,5,NA,15.1,24.1,9.6,-2.8,20.6,4.8
