,DEPARTAMENTO,Year,ODS 1.1.1,ODS 1.2.1,ODS 1.3.1,ODS 1.4.1,ODS 2.1.1,ODS 2.2.1,ODS 2.2.2,ODS 3.1.2,ODS 3.2.1,ODS 3.2.2,ODS 3.3.1,ODS 3.3.2,ODS 3.3.3,ODS 3.3.4,ODS 3.5.2,ODS 3.6.1,ODS 3.7.1,ODS 3.7.2,ODS 3.8.1,ODS 3.a.1,ODS 3.c.1,ODS 4.1.1,ODS 4.1.2,ODS 4.1.3,ODS 4.1.4,ODS 4.2.2,ODS 4.3.1,ODS 4.5.1,ODS 4.6.1,ODS 4.a.1,ODS 4.a.2,ODS 4.a.3,ODS 4.c.1,ODS 5.2.1,ODS 5.5.2,ODS 5.5.3,ODS 5.5.4,ODS 6.1.1,ODS 6.2.1,ODS 7.1.1,ODS 7.1.2,ODS 8.1.1,ODS 8.2.1,ODS 8.5.1,ODS 8.5.2,ODS 8.6.1,ODS 8.7.1,ODS 9.2.2,ODS 10.1.1,ODS 10.2.1,ODS 10.3.1
456,MOQUEGUA,2009,NA,NA,43.5,NA,NA,5.1,NA,97.1,NA,NA,NA,96,0,1,NA,NA,52.2,NA,61.7,NA,NA,NA,NA,NA,NA,5.3,34.9,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.5,67,-3.4,-5.9,6.6,NA,14.7,NA,7.4,11.9,28.6,NA
457,PASCO,2009,NA,NA,24.9,NA,NA,38.4,NA,80.8,NA,NA,NA,21,8,8,NA,NA,57.3,NA,56.4,NA,NA,NA,NA,NA,NA,8.8,21.9,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,45.5,-6.4,-20.2,3.6,NA,14.8,NA,NA,5.6,28.1,NA
458,PIURA,2009,NA,NA,20.7,NA,NA,23,NA,85.6,NA,NA,NA,24,156,1,NA,NA,52.7,NA,62.8,NA,NA,NA,NA,NA,NA,8.9,18.8,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.9,43.7,2.3,-1.3,3.7,NA,20.6,NA,10.7,3,29.8,NA
459,PROVINCIA DE DEPARTAMENTO DE LIMA,2009,NA,NA,34.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5,92.4,NA,NA,NA,NA,18.7,NA,NA,2.9,NA,NA
460,LIMA PROVINCIAS,2009,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.7,NA,NA,NA,NA,NA,NA,7.2,25,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,72.7,NA,NA,4.3,NA,15.1,NA,8.1,3.8,25.3,NA
461,PUNO,2009,NA,NA,12.7,NA,NA,27.3,NA,64.2,NA,NA,NA,29,0,0,NA,NA,25.1,NA,57.4,NA,NA,NA,NA,NA,NA,13,24.6,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.6,35.3,4.7,1.4,2.8,NA,9.8,NA,8.1,3.7,28.3,NA
462,SAN MARTIN,2009,NA,NA,11.7,NA,NA,28.2,NA,66.1,NA,NA,NA,46,111,3,NA,NA,50.8,NA,67.2,NA,NA,NA,NA,NA,NA,7.6,14.9,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.1,36.3,3,4.4,3.9,NA,21.4,NA,5.6,-0.3,27.7,NA
463,TACNA,2009,NA,NA,32.4,NA,NA,2.1,NA,95,NA,NA,NA,121,0,1,NA,NA,52.4,NA,46.7,NA,NA,NA,NA,NA,NA,3.5,29.8,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,85,-5,0.6,4.7,NA,17.5,NA,8.1,1,20,NA
464,TUMBES,2009,NA,NA,18.6,NA,NA,13.5,NA,94.8,NA,NA,NA,48,705,2,NA,NA,67,NA,64.9,NA,NA,NA,NA,NA,NA,3.9,25.8,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.3,73,8.3,8.1,4.3,NA,20,NA,NA,1.1,25.3,NA
465,UCAYALI,2009,NA,NA,20.2,NA,NA,29.9,NA,62.1,NA,NA,NA,123,50,5,NA,NA,49.7,NA,64,NA,NA,NA,NA,NA,NA,5.5,15.5,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.3,54,-0.6,-3,4,NA,16.3,NA,9.5,4.9,22.7,NA
466,AMAZONAS,2010,NA,NA,10,NA,NA,25.2,0.6,68.5,NA,NA,NA,26,2,0,NA,NA,44.9,NA,68.3,NA,196,NA,NA,NA,NA,9.6,13.6,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.2,25.3,7.4,4.7,4.1,NA,15,NA,4.5,13.2,26.4,NA
467,ANCASH,2010,NA,NA,22.1,NA,NA,28.6,0.3,86,NA,NA,NA,57,0,3,NA,NA,49.5,NA,63.3,NA,955,NA,NA,NA,NA,11.3,26,NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.9,48.1,-2.5,-3.8,4.3,NA,11.1,NA,7.7,3.8,26.9,NA
468,APURIMAC,2010,NA,NA,7.8,NA,NA,38.6,0.3,98,NA,NA,NA,28,1,12,NA,NA,48.1,NA,89.1,NA,308,NA,NA,NA,NA,16.4,24.2,NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.3,14.7,9.2,6.7,3.1,NA,16.5,NA,NA,10.6,24.7,NA
469,AREQUIPA,2010,NA,NA,34.4,NA,NA,12.3,0.5,95.5,NA,NA,NA,53,0,3,NA,NA,48,NA,62.5,NA,4146,NA,NA,NA,NA,4.7,39.4,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.1,85.3,4.5,2.7,5.4,NA,15.3,NA,12.5,10,23.1,NA
470,AYACUCHO,2010,NA,NA,12.7,NA,NA,38.8,0.6,89.7,NA,NA,NA,35,169,6,NA,NA,42.2,NA,85.3,NA,339,NA,NA,NA,NA,14.9,17.8,NA,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.1,25.2,4.5,3.3,3.3,NA,14.4,NA,NA,4.6,26.9,NA
471,CAJAMARCA,2010,NA,NA,12.1,NA,NA,40.5,0.9,61.6,NA,NA,NA,14,2,1,NA,NA,47.7,NA,74.6,NA,578,NA,NA,NA,NA,14.9,17.2,NA,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1,27.3,1.2,2.8,3.8,NA,14.9,NA,8.2,7.1,28.5,NA
472,CALLAO,2010,NA,NA,42.7,NA,NA,NA,NA,NA,NA,NA,NA,122,0,3,NA,NA,NA,NA,64.3,NA,2110,NA,NA,NA,NA,2.8,23.7,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5,93.2,NA,NA,5.9,NA,17.2,NA,16.3,4.3,20.4,NA
473,CUSCO,2010,NA,NA,15.8,NA,NA,35.4,1.6,81.9,NA,NA,NA,51,85,7,NA,NA,41.4,NA,67.7,NA,1535,NA,NA,NA,NA,12.7,24.7,NA,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.7,41,12.6,14.5,3.9,NA,11.9,NA,6.9,1,24.9,NA
474,HUANCAVELICA,2010,NA,NA,7.7,NA,NA,54.6,2.2,73.8,NA,NA,NA,22,1,1,NA,NA,37.5,NA,88.3,NA,229,NA,NA,NA,NA,18.5,20.9,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.9,15.6,6.4,4.9,3.1,NA,9.9,NA,NA,16.1,30.3,NA
475,HUANUCO,2010,NA,NA,11.4,NA,NA,37.4,0.2,85.5,NA,NA,NA,54,1,1,NA,NA,55.3,NA,81.9,NA,451,NA,NA,NA,NA,18.6,18.7,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,31.7,7.4,6.3,3.4,NA,10.3,NA,5.3,4.8,28.8,NA
476,ICA,2010,NA,NA,46.2,NA,NA,10.3,0.1,97.9,NA,NA,NA,100,0,1,NA,NA,56.6,NA,60.1,NA,1654,NA,NA,NA,NA,4.9,26.3,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.4,89.4,5.3,4.2,4.3,NA,17.9,NA,12.6,5.7,23.8,NA
477,JUNIN,2010,NA,NA,20.5,NA,NA,30.4,0.6,74.2,NA,NA,NA,53,570,1,NA,NA,48,NA,51.3,NA,1245,NA,NA,NA,NA,7.1,28.3,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.2,51.7,5.2,3.1,3.7,NA,12.8,NA,10.7,3.4,24.4,NA
478,LA LIBERTAD,2010,NA,NA,24,NA,NA,26.1,0.6,82.6,NA,NA,NA,58,10,1,NA,NA,50.1,NA,67.3,NA,3034,NA,NA,NA,NA,8.2,25.6,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.3,64.2,4.6,2.8,4.1,NA,15.3,NA,12.4,9.9,29.2,NA
479,LAMBAYEQUE,2010,NA,NA,19.5,NA,NA,17.8,0.4,84.1,NA,NA,NA,50,8,1,NA,NA,51.7,NA,65.8,NA,1789,NA,NA,NA,NA,8.4,22.3,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.4,66.5,6.1,5.4,3.4,NA,19.4,NA,11,5.8,28.2,NA
480,DEPARTAMENTO DE LIMA,2010,NA,NA,35.1,NA,NA,NA,0.2,NA,NA,NA,NA,139,0,6,NA,NA,57.4,NA,54.1,NA,32825,NA,NA,NA,NA,NA,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,92.7,9.2,7.2,6.2,NA,18.2,NA,14.1,6.7,20.1,NA
481,LORETO,2010,NA,NA,19.8,NA,NA,31,1.9,46.6,NA,NA,NA,109,1236,13,NA,NA,45.7,NA,83.6,NA,721,NA,NA,NA,NA,5.7,13.5,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,27.6,6.6,5.4,4.2,NA,24.8,NA,5.1,11.9,29,NA
482,MADRE DE DIOS,2010,NA,NA,14.1,NA,NA,11.9,0.8,87.5,NA,NA,NA,134,2462,2,NA,NA,50.1,NA,51.6,NA,128,NA,NA,NA,NA,4.5,28.4,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.4,56.8,6.6,5.7,5.8,NA,12.5,NA,7.3,2.9,20.5,NA
483,MOQUEGUA,2010,NA,NA,45.4,NA,NA,5.7,0.4,96.2,NA,NA,NA,77,0,0,NA,NA,61.5,NA,66.8,NA,272,NA,NA,NA,NA,5.4,35.2,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.8,69.9,-0.6,-4.7,7.4,NA,9.5,NA,NA,6.8,27.7,NA
484,PASCO,2010,NA,NA,26.2,NA,NA,32.6,0.5,84.2,NA,NA,NA,28,56,15,NA,NA,56.7,NA,62.1,NA,181,NA,NA,NA,NA,7.5,26.2,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.4,47.4,-6.2,-7.1,4,NA,11.6,NA,NA,15.4,28,NA
485,PIURA,2010,NA,NA,21.7,NA,NA,22.9,0.1,84.4,NA,NA,NA,26,122,2,NA,NA,57.2,NA,66,NA,1462,NA,NA,NA,NA,9.4,20,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.1,48,7,6.5,3.7,NA,18.2,NA,9.9,4.4,27.9,NA
486,PROVINCIA DE DEPARTAMENTO DE LIMA,2010,NA,NA,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,94.7,NA,NA,NA,NA,18.4,NA,NA,6.3,NA,NA
487,LIMA PROVINCIAS,2010,NA,NA,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9,NA,NA,NA,NA,NA,NA,7,22.3,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.6,74.3,NA,NA,4.8,NA,15.8,NA,7,7,23,NA
488,PUNO,2010,NA,NA,12.6,NA,NA,25.5,0.3,72.4,NA,NA,NA,31,0,2,NA,NA,24.7,NA,54,NA,837,NA,NA,NA,NA,11.7,26,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5,40.4,6.6,2.7,3.2,NA,9.4,NA,8.4,2.7,26.4,NA
489,SAN MARTIN,2010,NA,NA,15.2,NA,NA,26.8,0.8,73.1,NA,NA,NA,43,97,3,NA,NA,47.8,NA,74.6,NA,391,NA,NA,NA,NA,7,18,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.5,37.8,6.8,0.6,4.4,NA,17,NA,NA,8.6,26.1,NA
490,TACNA,2010,NA,NA,37.5,NA,NA,3,0.4,94.9,NA,NA,NA,109,0,3,NA,NA,46.3,NA,51.9,NA,665,NA,NA,NA,NA,4,33.2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,87.9,9.2,4.3,5.2,NA,14.3,NA,8.2,-1.5,22,NA
491,TUMBES,2010,NA,NA,19.4,NA,NA,12.8,1.3,96,NA,NA,NA,32,857,4,NA,NA,67.6,NA,65,NA,171,NA,NA,NA,NA,4.2,21.6,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1,82.8,9.6,7.1,4.8,NA,15.5,NA,NA,8.7,26.5,NA
492,UCAYALI,2010,NA,NA,20.5,NA,NA,31.6,2.7,68.5,NA,NA,NA,148,55,2,NA,NA,47.5,NA,67.8,NA,302,NA,NA,NA,NA,5.4,15,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.1,57,1.6,0.1,3.9,NA,17.2,NA,9.5,10.8,22.7,NA
493,AMAZONAS,2011,NA,NA,10.5,NA,NA,27.5,0.8,54.4,34.2,NA,NA,25,2,1,NA,5.5,44.4,NA,69.9,NA,205,NA,NA,NA,NA,9.8,13.8,NA,9.8,NA,69.5,36.9,NA,12.4,3.6,26,NA,NA,53,69.9,26.8,3.5,1.9,3.9,NA,15.2,NA,NA,7.2,26.7,NA
494,ANCASH,2011,NA,NA,21.1,NA,NA,27,0.3,88.6,19,NA,NA,80,0,1,NA,14.6,46.4,NA,65.4,NA,1044,NA,NA,NA,NA,11.4,24.2,NA,11.4,NA,62.1,45.4,NA,12.5,1.3,27.9,NA,NA,76.9,93.1,50.3,0.7,0.9,4.9,NA,13.5,NA,8,-0.7,27.2,NA
495,APURIMAC,2011,NA,NA,9.6,NA,NA,39.3,0.5,96.3,27.2,NA,NA,27,1,6,NA,6.2,49.2,NA,87.8,NA,326,NA,NA,NA,NA,18.3,29.8,NA,18.3,NA,51.2,20.3,NA,17.6,1.3,25,NA,NA,79.2,86.4,14,6.3,2.8,3.3,NA,10.1,NA,NA,5.1,26.3,NA
496,AREQUIPA,2011,NA,NA,32.6,NA,NA,9,0.3,97.2,12.8,NA,NA,62,0,3,NA,17,45.9,NA,65,NA,4330,NA,NA,NA,NA,5.6,32,NA,5.6,NA,65.3,57.6,NA,12,4.6,32.2,NA,NA,80.5,96.6,87.2,2.9,1.3,6.1,NA,15.7,NA,11.8,4.1,21.2,NA
497,AYACUCHO,2011,NA,NA,11.2,NA,NA,35.3,0.2,89.6,29.5,NA,NA,41,344,8,NA,34.4,44.8,NA,85.4,NA,350,NA,NA,NA,NA,14.3,20.6,NA,14.3,NA,70.7,31.4,NA,16.8,2.7,25.8,NA,NA,74.3,80.6,25.8,4.9,1,4,NA,13.7,NA,NA,1.1,29.3,NA
498,CAJAMARCA,2011,NA,NA,11.2,NA,NA,37.6,0.4,60.7,26.6,NA,NA,15,5,2,NA,6.6,47,NA,78.1,NA,614,NA,NA,NA,NA,14.1,17.1,NA,14.1,NA,51,24.3,NA,9.4,0.8,25.3,NA,NA,77.4,65.2,27.7,4.8,4.2,4.2,NA,12.6,NA,7.3,2.5,28.4,NA
499,CALLAO,2011,NA,NA,38.8,NA,NA,NA,NA,NA,NA,NA,NA,147,0,2,NA,6.1,NA,NA,61,NA,2164,NA,NA,NA,NA,2.3,22.7,NA,2.3,NA,90.3,90.3,NA,NA,0,28.6,NA,NA,82.5,99.7,95.3,NA,NA,5.7,NA,20.2,NA,15.3,4.5,20.5,NA
500,CUSCO,2011,NA,NA,18.5,NA,NA,29.9,0.9,84.8,43.2,NA,NA,67,87,4,NA,15,46.5,NA,73.7,NA,1646,NA,NA,NA,NA,11,31,NA,11,NA,52.6,26,NA,21.4,1.9,25,NA,NA,63,87.2,43.7,12.3,9.3,4.5,NA,12,NA,6.8,16.5,25.7,NA
501,HUANCAVELICA,2011,NA,NA,11.1,NA,NA,54.2,2.5,74.8,34.5,NA,NA,24,0,0,NA,20.2,38,NA,90.1,NA,242,NA,NA,NA,NA,16.8,19.5,NA,16.8,NA,66.5,19.5,NA,9.6,6.5,24,NA,NA,54.9,84.6,16.4,5.3,-0.6,3.2,NA,8.8,NA,NA,11.6,28.8,NA
502,HUANUCO,2011,NA,NA,12.2,NA,NA,34.3,0.4,84.7,31.4,NA,NA,50,1,4,NA,19.1,56.6,NA,81.3,NA,488,NA,NA,NA,NA,18,18,NA,18,NA,32.1,16.2,NA,10.4,5.5,24.2,NA,NA,61.1,72.2,33,6.4,4.5,3.8,NA,13.8,NA,4.3,6.8,28.5,NA
503,ICA,2011,NA,NA,49.3,NA,NA,8.9,0.3,100,18.6,NA,NA,105,0,2,NA,12.1,59.9,NA,63.8,NA,1693,NA,NA,NA,NA,4,28.9,NA,4,NA,82.1,58.3,NA,16.8,5,30.5,NA,NA,77.7,98.3,90.7,9,7.6,4.7,NA,13.2,NA,11.7,6.1,22,NA
504,JUNIN,2011,NA,NA,22.1,NA,NA,26.7,0.9,82.9,24.5,NA,NA,60,358,1,NA,14.2,49.5,NA,52.6,NA,1365,NA,NA,NA,NA,6.5,26.8,NA,6.5,NA,55.4,26.3,NA,21.2,2.5,29.9,NA,NA,69,87.6,53.2,5,2.2,4.4,NA,13.5,NA,9.6,6.6,24.7,NA
505,LA LIBERTAD,2011,NA,NA,24,NA,NA,23.2,0.5,76.2,21.6,NA,NA,68,14,1,NA,11.7,47.4,NA,64.4,NA,3238,NA,NA,NA,NA,7.7,24.3,NA,7.7,NA,65.4,41.7,NA,5.9,3.7,26.8,NA,NA,75.6,86.9,65.9,3.4,6.1,4.2,NA,15,NA,12.6,4.8,26.1,NA
506,LAMBAYEQUE,2011,NA,NA,19.6,NA,NA,16.2,0,88.4,29.5,NA,NA,56,2,1,NA,12.5,53.5,NA,59,NA,1883,NA,NA,NA,NA,8,21,NA,8,NA,56,41.4,NA,8.8,2.8,28.2,NA,NA,75.2,91.9,64.5,5.1,6.4,3.6,NA,18.7,NA,10.2,8.1,27.4,NA
507,DEPARTAMENTO DE LIMA,2011,NA,NA,36.6,NA,NA,NA,0.2,NA,15.2,NA,NA,155,0,4,NA,11,58.4,NA,56.3,NA,34148,NA,NA,NA,NA,NA,27.3,NA,NA,NA,NA,NA,NA,NA,9.8,30.6,NA,NA,88.3,99.3,94.2,7.2,6.4,6.7,NA,18.2,NA,14.1,3.3,18.8,NA
508,LORETO,2011,NA,NA,19.6,NA,NA,34.2,1.3,49.9,51.1,NA,NA,127,1261,4,NA,2.2,46.3,NA,81.8,NA,767,NA,NA,NA,NA,7.1,11.3,NA,7.1,NA,8.5,9.3,NA,18.4,3.9,28.6,NA,NA,38.4,68,28.4,-4.3,-5.2,4.4,NA,26.7,NA,5.3,8.3,27,NA
509,MADRE DE DIOS,2011,NA,NA,19.6,NA,NA,11.9,0.7,92.5,35,NA,NA,194,1385,4,NA,8.1,55.5,NA,55.6,NA,136,NA,NA,NA,NA,4.1,27.1,NA,4.1,NA,31.7,16.5,NA,16.8,9.1,27.1,NA,NA,45.1,88.6,70.1,7,11.2,7.6,NA,14.1,NA,6.6,8.6,22.3,NA
510,MOQUEGUA,2011,NA,NA,45.3,NA,NA,5.7,0.2,97.2,24.2,NA,NA,104,0,6,NA,18.9,57,NA,64.8,NA,285,NA,NA,NA,NA,5.6,35.7,NA,5.6,NA,43.1,54.1,NA,14.1,5,28.7,NA,NA,84.8,94.2,72.5,-8.7,-7,7.5,NA,16.4,NA,6.7,4.9,27.1,NA
511,PASCO,2011,NA,NA,23.8,NA,NA,24.8,0.4,86.4,30.6,NA,NA,34,18,12,NA,18.2,56,NA,59.6,NA,193,NA,NA,NA,NA,6.7,25.4,NA,6.7,NA,47.1,37.1,NA,14.6,7.1,26,NA,NA,59.9,84.9,48.5,-0.6,-1.3,4,NA,15.9,NA,NA,3,27.2,NA
512,PIURA,2011,NA,NA,21.6,NA,NA,20.9,0.3,79.3,27,NA,NA,29,14,1,NA,9.8,53.9,NA,63.6,NA,1524,NA,NA,NA,NA,7.9,18.3,NA,7.9,NA,25.7,20.5,NA,15.1,6.3,25,NA,NA,58.9,87.4,50.8,7.4,10.5,4.4,NA,19.1,NA,9.1,2.2,27.6,NA
513,PROVINCIA DE DEPARTAMENTO DE LIMA,2011,NA,NA,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.6,99.6,95.6,NA,NA,NA,NA,18.2,NA,NA,2.9,NA,NA
514,LIMA PROVINCIAS,2011,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,58.5,NA,NA,NA,NA,NA,NA,6.7,23.2,NA,6.7,NA,63.1,51.1,NA,NA,9.1,30.5,NA,NA,67.4,96.2,80.5,NA,NA,4.8,NA,17.3,NA,NA,4.9,23.9,NA
515,PUNO,2011,NA,NA,12.1,NA,NA,21.5,0.2,75.3,51.7,NA,NA,34,0,0,NA,27.3,25.6,NA,62.5,NA,892,NA,NA,NA,NA,11.1,27.5,NA,11.1,NA,43.1,18.3,NA,16.7,0.9,23.9,NA,NA,60.9,85.1,42.4,6.5,5,3.4,NA,10.6,NA,7.2,14.2,26.4,NA
516,SAN MARTIN,2011,NA,NA,15.8,NA,NA,22.8,1.1,72.2,34.7,NA,NA,48,32,4,NA,8.7,53.6,NA,75.4,NA,406,NA,NA,NA,NA,6.9,18.5,NA,6.9,NA,39.6,15.2,NA,13.2,4.1,27.4,NA,NA,72.5,79.8,38.6,4.2,2.5,5.1,NA,16.1,NA,NA,11.2,26.7,NA
517,TACNA,2011,NA,NA,36,NA,NA,3.7,0,94.7,10.5,NA,NA,153,0,1,NA,23.2,45.9,NA,40.1,NA,725,NA,NA,NA,NA,5.4,31.6,NA,5.4,NA,69.8,61.5,NA,15.9,3.7,31.5,NA,NA,82.9,97.2,87.2,1,0.6,5.3,NA,16.8,NA,8.1,6.7,22.1,NA
518,TUMBES,2011,NA,NA,20.9,NA,NA,11,0.6,94.6,25.6,NA,NA,64,321,9,NA,12,64.5,NA,69.3,NA,180,NA,NA,NA,NA,4.2,21.5,NA,4.2,NA,63.4,40.9,NA,14.3,7.7,31.5,NA,NA,64.8,97.1,82.8,-7.1,-7.1,5.1,NA,20.5,NA,6.7,6,23.1,NA
519,UCAYALI,2011,NA,NA,22,NA,NA,31.4,2.6,73,36.3,NA,NA,168,12,0,NA,9.8,53.2,NA,65.2,NA,319,NA,NA,NA,NA,5.3,17.2,NA,5.3,NA,11.7,13.2,NA,11.4,0,26.4,NA,NA,35.9,79.3,55.7,4.1,4.1,4.5,NA,18.6,NA,9,6.8,19.3,NA
520,AMAZONAS,2012,NA,NA,11.7,NA,NA,29.2,0.7,61.3,NA,NA,NA,30,0,1,NA,18.7,43.7,NA,66.6,NA,215,NA,NA,NA,NA,8.8,19.7,NA,8.8,NA,53.4,41.2,NA,14.4,NA,NA,NA,NA,54.4,73.5,32.2,11.6,15.6,4.3,NA,17.8,57,NA,3.1,26.5,11.3
521,ANCASH,2012,NA,NA,22.7,NA,NA,24.7,0.4,88.8,NA,NA,NA,70,0,2,NA,12.8,48.2,NA,64.9,NA,1146,NA,NA,NA,NA,9.9,20.4,NA,9.9,NA,37.8,43.7,NA,12.2,NA,NA,NA,NA,74.7,94.5,50.2,9.2,7.2,5.1,NA,17.5,49.1,8.1,3.4,28.1,17.3
522,APURIMAC,2012,NA,NA,11.4,NA,NA,32.2,0.5,97.4,NA,NA,NA,29,1,12,NA,5.1,51.2,NA,87.9,NA,344,NA,NA,NA,NA,14.5,22,NA,14.5,NA,73.3,20.8,NA,21.1,NA,NA,NA,NA,67.8,88.9,18.9,13.5,11.7,3.4,NA,13.3,52.2,NA,4.5,27.2,15.6
523,AREQUIPA,2012,NA,NA,34.1,NA,NA,7.3,0,94.1,NA,NA,NA,59,0,4,NA,11.4,52.9,NA,57.9,NA,4546,NA,NA,NA,NA,4.2,33.2,NA,4.2,NA,73.8,67.7,NA,10.5,NA,NA,NA,NA,80.7,96.7,89.5,3.2,5.8,6.3,NA,15.1,16.5,12.7,1.4,22.5,22.8
524,AYACUCHO,2012,NA,NA,12.2,NA,NA,29.5,0.3,91.8,NA,NA,NA,34,391,4,NA,13.8,45.7,NA,77.3,NA,369,NA,NA,NA,NA,13.8,23.1,NA,13.8,NA,49.1,27,NA,16.9,NA,NA,NA,NA,80.3,83.4,27,9.2,13.1,3.9,NA,14.8,34.3,NA,4.7,27.2,14
525,CAJAMARCA,2012,NA,NA,11.3,NA,NA,34.2,0,65.8,NA,NA,NA,17,2,1,NA,5.3,46.6,NA,73.8,NA,655,NA,NA,NA,NA,11.8,17.9,NA,11.8,NA,42.8,22.3,NA,11.2,NA,NA,NA,NA,76.5,72.2,29.1,6.8,11.3,4.5,NA,15.1,52.9,6.9,3,28,6.4
526,CALLAO,2012,NA,NA,40.1,NA,NA,NA,NA,NA,NA,NA,NA,130,0,1,NA,2.9,NA,NA,63.7,NA,2205,NA,NA,NA,NA,2.3,25.9,NA,2.3,NA,86.3,86.3,NA,NA,NA,NA,NA,NA,83.5,99.6,96.9,NA,NA,6.3,NA,20.5,8,15.7,2.3,20.6,22.4
527,CUSCO,2012,NA,NA,22.3,NA,NA,24.3,0.5,94.1,NA,NA,NA,54,36,7,NA,14.1,49.1,NA,70.9,NA,1751,NA,NA,NA,NA,10.8,30.5,NA,10.8,NA,56.6,32.4,NA,24.1,NA,NA,NA,NA,65.5,90.9,46.3,1.4,-0.8,4.9,NA,10.8,47.1,6.2,3.4,26.2,28.7
528,HUANCAVELICA,2012,NA,NA,12.1,NA,NA,50.2,0.7,80.5,NA,NA,NA,23,0,1,NA,11.5,41.5,NA,85.3,NA,261,NA,NA,NA,NA,14.9,23.1,NA,14.9,NA,16.7,12.9,NA,11,NA,NA,NA,NA,61,83.6,18.1,10.6,4.6,3.4,NA,7.5,75.9,NA,3.8,28.6,18.2
529,HUANUCO,2012,NA,NA,14.2,NA,NA,30.9,0.6,92.8,NA,NA,NA,55,0,23,NA,9.1,58.6,NA,79.3,NA,512,NA,NA,NA,NA,16.6,19.2,NA,16.6,NA,44.4,25.5,NA,9.7,NA,NA,NA,NA,57.8,75.2,33.6,11.5,10.2,4.4,NA,11.6,56.2,NA,4,26.9,16.1
